Date mutation,Valeur fonciere,Commune,Code departement,Type local,Surface reelle bati,Nombre pieces principales,année,prix_m2
17/02/2021,60000.0,CARHAIX-PLOUGUER,29,Maison,82.0,4.0,2021,731.7073170731708
27/01/2021,88000.0,VAL CENIS,73,Appartement,23.0,2.0,2021,3826.086956521739
20/12/2021,208000.0,VERNOUILLET,78,Appartement,56.0,3.0,2021,3714.285714285714
29/10/2021,236180.0,ROMANS-SUR-ISERE,26,Maison,140.0,6.0,2021,1687.0
02/03/2021,243970.0,TONNAY CHARENTE,17,Maison,174.0,6.0,2021,1402.1264367816093
27/10/2021,184000.0,GLIERES-VAL-DE-BORNE,74,Appartement,68.0,3.0,2021,2705.8823529411766
23/11/2021,335000.0,SARAN,45,Maison,153.0,5.0,2021,2189.5424836601305
11/02/2021,449500.0,LE PRE-SAINT-GERVAIS,93,Appartement,64.0,3.0,2021,7023.4375
06/09/2021,119000.0,LE PONT-DE-CLAIX,38,Appartement,31.0,1.0,2021,3838.7096774193546
22/04/2021,623500.0,ALFORTVILLE,94,Appartement,105.0,5.0,2021,5938.0952380952385
12/01/2021,80000.0,CHERBOURG-EN-COTENTIN,50,Appartement,50.0,2.0,2021,1600.0
29/10/2021,2790000.0,EGUILLES,13,Maison,333.0,7.0,2021,8378.378378378378
03/12/2021,324000.0,PREMONT,02,Appartement,32.0,1.0,2021,10125.0
30/09/2021,110570.0,CHATEAURENARD,13,Appartement,70.0,4.0,2021,1579.5714285714287
07/10/2021,378520.0,SEYSSES,31,Maison,131.0,7.0,2021,2889.4656488549617
09/08/2021,111570.0,SAINTE-CECILE,50,Maison,93.0,5.0,2021,1199.6774193548388
18/11/2021,175000.0,CHANTEPIE,35,Appartement,64.0,3.0,2021,2734.375
17/09/2021,511000.0,SAILLY-LAURETTE,80,Maison,142.0,6.0,2021,3598.5915492957747
17/09/2021,1150180.0,SEVRIER,74,Appartement,161.0,5.0,2021,7143.975155279503
05/07/2021,100000.0,POMMERIT-LE-VICOMTE,22,Maison,90.0,5.0,2021,1111.111111111111
18/03/2021,1146000.0,LYON 6EME,69,Appartement,192.0,5.0,2021,5968.75
14/09/2021,246000.0,LES FORGES,88,Maison,194.0,5.0,2021,1268.041237113402
18/01/2021,356870.0,OLIVET,45,Maison,141.0,6.0,2021,2530.9929078014184
06/12/2021,448950.0,MONTAUD,38,Maison,122.0,5.0,2021,3679.9180327868853
12/05/2021,83000.0,MAINVILLIERS,28,Appartement,53.0,2.0,2021,1566.0377358490566
02/02/2021,145000.0,RENNES,35,Appartement,37.0,2.0,2021,3918.9189189189187
19/03/2021,230000.0,ROUEN,76,Appartement,110.0,4.0,2021,2090.909090909091
07/01/2021,116000.0,SASSENAGE,38,Appartement,60.0,3.0,2021,1933.3333333333333
24/09/2021,270000.0,PLUNERET,56,Maison,117.0,5.0,2021,2307.6923076923076
01/10/2021,254750.0,TOURS,37,Maison,78.0,4.0,2021,3266.025641025641
15/03/2021,166650.0,CASTANET TOLOSAN,31,Appartement,47.0,2.0,2021,3545.744680851064
26/04/2021,228700.0,COMMELLE-VERNAY,42,Maison,125.0,5.0,2021,1829.6
18/06/2021,75000.0,DIJON,21,Appartement,27.0,1.0,2021,2777.777777777778
30/03/2021,182500.0,VIRE NORMANDIE,14,Maison,86.0,4.0,2021,2122.093023255814
15/12/2021,389100.0,RENNES,35,Appartement,78.0,4.0,2021,4988.461538461538
06/09/2021,229000.0,MIRAMAS,13,Maison,80.0,4.0,2021,2862.5
28/06/2021,179000.0,ESTAIRES,59,Appartement,80.0,4.0,2021,2237.5
15/12/2021,296500.0,LA CHAPELLE-EN-VALGAUDEMAR,05,Appartement,20.0,1.0,2021,14825.0
12/05/2021,333900.0,LIEUSAINT,77,Maison,92.0,4.0,2021,3629.3478260869565
06/07/2021,99000.0,GRASSE,06,Appartement,75.0,3.0,2021,1320.0
08/01/2021,120000.0,SAINT-GEORGES-BUTTAVENT,53,Maison,130.0,6.0,2021,923.0769230769231
07/10/2021,900000.0,ORNEX,01,Maison,94.0,6.0,2021,9574.468085106382
28/01/2021,216000.0,MONSEMPRON-LIBOS,47,Maison,307.0,11.0,2021,703.5830618892509
26/02/2021,210000.0,RAIMBEAUCOURT,59,Maison,80.0,5.0,2021,2625.0
23/06/2021,351769.0,PLOUEZEC,22,Maison,160.0,7.0,2021,2198.55625
02/07/2021,299000.0,SAINT-FLORENTIN,89,Maison,292.0,8.0,2021,1023.972602739726
12/07/2021,347756.0,SAN MARTINO DI LOTA,2B,Appartement,89.0,4.0,2021,3907.370786516854
13/07/2021,100000.0,LES MAZURES,08,Maison,55.0,3.0,2021,1818.1818181818182
