département,n_transactions,prix_moyen,IC_bas,IC_haut
75,1751,10814.0,10626.0,11002.0
92,787,7800.0,7533.0,8068.0
94,642,5934.0,5663.0,6205.0
06,1085,5562.0,5345.0,5779.0
74,663,5362.0,5090.0,5635.0
73,359,5180.0,4701.0,5660.0
93,674,5167.0,4883.0,5450.0
2A,108,5063.0,4302.0,5825.0
83,1228,5008.0,4789.0,5227.0
13,1204,4990.0,4763.0,5217.0
69,1100,4903.0,4663.0,5143.0
78,725,4833.0,4604.0,5062.0
33,1080,4386.0,4176.0,4597.0
972,86,4289.0,3427.0,5151.0
95,594,4154.0,3919.0,4390.0
91,649,4055.0,3821.0,4289.0
974,251,4008.0,3514.0,4502.0
84,367,3958.0,3557.0,4360.0
971,127,3879.0,3198.0,4559.0
2B,94,3839.0,3393.0,4285.0
64,504,3791.0,3518.0,4063.0
34,999,3763.0,3593.0,3932.0
04,153,3740.0,3069.0,4411.0
44,913,3734.0,3567.0,3902.0
40,362,3720.0,3406.0,4035.0
77,850,3705.0,3531.0,3879.0
17,616,3647.0,3380.0,3914.0
30,559,3605.0,3296.0,3915.0
973,38,3467.0,2369.0,4564.0
01,408,3407.0,3135.0,3679.0
31,895,3396.0,3227.0,3566.0
25,348,3356.0,2909.0,3804.0
38,774,3342.0,3152.0,3533.0
14,619,3294.0,3049.0,3539.0
35,689,3219.0,3029.0,3408.0
56,576,3197.0,2993.0,3402.0
59,1491,3193.0,3007.0,3378.0
76,927,3191.0,2954.0,3428.0
05,140,3164.0,2777.0,3552.0
85,588,3108.0,2895.0,3320.0
37,403,3062.0,2736.0,3388.0
66,488,3049.0,2795.0,3303.0
51,319,2997.0,2601.0,3393.0
60,428,2969.0,2687.0,3251.0
21,354,2960.0,2643.0,3276.0
49,515,2951.0,2688.0,3214.0
54,459,2921.0,2622.0,3220.0
89,296,2916.0,2399.0,3434.0
80,382,2797.0,2485.0,3109.0
90,95,2791.0,2129.0,3452.0
26,309,2786.0,2571.0,3001.0
11,341,2779.0,2488.0,3070.0
07,252,2763.0,2472.0,3054.0
29,647,2705.0,2512.0,2898.0
62,840,2697.0,2492.0,2901.0
22,543,2697.0,2445.0,2949.0
27,439,2691.0,2421.0,2961.0
42,555,2683.0,2440.0,2926.0
82,197,2612.0,2221.0,3003.0
45,492,2583.0,2332.0,2835.0
32,143,2546.0,1998.0,3095.0
50,415,2507.0,2276.0,2738.0
63,490,2466.0,2241.0,2690.0
28,286,2437.0,2194.0,2680.0
65,203,2432.0,2080.0,2785.0
39,175,2367.0,1963.0,2772.0
71,407,2304.0,2047.0,2562.0
24,420,2303.0,2080.0,2526.0
10,234,2271.0,1896.0,2647.0
47,270,2246.0,1977.0,2516.0
16,253,2230.0,1876.0,2585.0
72,427,2188.0,1943.0,2433.0
86,311,2180.0,1895.0,2465.0
81,255,2167.0,1947.0,2386.0
15,113,2117.0,1558.0,2677.0
12,214,2109.0,1795.0,2422.0
19,188,2080.0,1706.0,2454.0
46,126,2059.0,1587.0,2531.0
53,237,2040.0,1648.0,2432.0
88,288,2032.0,1789.0,2275.0
79,279,2009.0,1687.0,2331.0
41,237,2002.0,1708.0,2296.0
61,262,1988.0,1684.0,2292.0
09,125,1975.0,1636.0,2313.0
87,311,1954.0,1706.0,2202.0
70,120,1947.0,1446.0,2447.0
43,154,1916.0,1631.0,2200.0
02,297,1866.0,1611.0,2122.0
03,278,1850.0,1596.0,2104.0
18,283,1795.0,1521.0,2070.0
48,44,1783.0,1386.0,2180.0
08,149,1678.0,1399.0,1958.0
55,107,1572.0,1094.0,2051.0
36,173,1525.0,1266.0,1785.0
58,180,1479.0,1236.0,1721.0
52,99,1479.0,1144.0,1813.0
23,123,1244.0,966.0,1522.0
